100,Abolishment of the Passover,325 AD
100,Abolishment of the Sabbath,321 AD
200,The Edict of Milan,313 AD
200,Death and Resurrection of Jesus Christ,30 AD
200,Pentecost and the coming of the Holy Spirit,30 AD
200,When is the second Passover celebrated?,2/14 by the sacred calender
300,Construction of Solomon's Temple,959 BC
300,Completion of the Second Temple,515 BC
300,Birth of Jesus Christ,5 BC
400,Fall of the Northern Kingdom of Israel to Assyria,722 BC
400,Decree of Cyrus allowing Jews to return to Jerusalem,538 BC
400,When is t,7/10 by scared calender
500,The year that King Josiah of Judah was killed at Megiddo by Pharaoh Necho II,609 BC
500,Fall of the Southern Kingdom of Judah to Babylon,586 BC
500,"How long is a time, times, and half a time in the Bible?",3 and 1/2 years
